"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","Average data transfer/epoch (MB): ","Average dismissal rate: ","PC: ","autoencoder","batch_size","blending_factor","data_poisoning_method","data_poisoning_prob","detect_anomalies","detection_params.method","detection_params.pooling","detection_params.split","detection_scheduler","detection_similarity","detection_start","detection_tau","detection_tolerance","detection_window","label_flipping_prob","learning_rate","nr_clients","num_malicious","total_MegaFLOPS model","total_MegaFLOPS","total_MegaFLOPS_backprob","total_MegaFLOPS_encoder","total_MegaFLOPS_forward","AUC_test.max","AUC_train","AUC_val.max","AUPRC_test","AUPRC_train","AUPRC_val","Accuracy_det.min","Accuracy_test.max","Accuracy_train","Accuracy_val.max","F1_det.min","F1_test.max","F1_train","F1_val","F1_val.max","FN_det.min","FP_det.min","Loss_test","Loss_val","dropout_threshold"
"fancy-sweep-58","plbch86t","finished","-","mohkoh","","2023-06-23T06:30:00.000Z","2579","yrv3qwjh","184.53423","0","2","","","0.75","blend","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.8251565098762512","0.7877683639526367","0.8495206832885742","0.6410214900970459","0.5759044885635376","0.6410214900970459","","0.8049119710922241","0.7873958349227905","0.8193697929382324","","0.5456507802009583","0.4855054020881653","","0.6124629378318787","","","0.4335243331954241","0.4335243331954241","0.009315959345066686"
"restful-sweep-57","plbch86t","finished","-","mohkoh","","2023-06-23T05:46:55.000Z","2581","yrv3qwjh","184.53423","0","2","","","0.75","blend","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.8275566697120667","0.8189883828163147","0.8438959121704102","0.6451104879379272","0.6327500343322754","0.6451104879379272","","0.8067654967308044","0.8018749952316284","0.8158479928970337","","0.5480164885520935","0.5412445664405823","","0.5910387635231018","","","0.4316666371835719","0.4316666371835719","0.009315959345066686"
"eager-sweep-56","plbch86t","finished","-","mohkoh","","2023-06-23T05:03:58.000Z","2579","yrv3qwjh","184.53423","0","2","","","0.75","blend","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.8413459062576294","0.7905264496803284","0.8456728458404541","0.674394965171814","0.5802183747291565","0.674394965171814","","0.8148285746574402","0.7867708206176758","0.8194624781608582","","0.5759762525558472","0.4873529076576233","","0.6020243167877197","","","0.4159645919227465","0.4159645919227465","0.009315959345066686"
"solar-sweep-55","plbch86t","finished","-","mohkoh","","2023-06-23T04:20:58.000Z","2579","yrv3qwjh","184.53423","0","2","","","0.75","blend","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8281672596931458","0.824682354927063","0.8459455370903015","0.6420104503631592","0.6403900980949402","0.6420104503631592","","0.8021315932273865","0.8031250238418579","0.8192771077156067","","0.5425326824188232","0.542151153087616","","0.5960561037063599","","","0.4296768752946036","0.4296768752946036","0.009315959345066686"
"exalted-sweep-54","plbch86t","finished","-","mohkoh","","2023-06-23T03:37:56.000Z","2581","yrv3qwjh","184.53423","0","2","","","0.75","blend","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8351774215698242","0.8253458738327026","0.8443719148635864","0.6649643182754517","0.6495707631111145","0.6649643182754517","","0.8089898228645325","0.8094791769981384","0.8150138854980469","","0.5615826845169067","0.5642125010490417","","0.582456111907959","","","0.41951769961326313","0.41951769961326313","0.009315959345066686"
"distinctive-sweep-53","plbch86t","finished","-","mohkoh","","2023-06-23T02:54:56.000Z","2581","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.822378396987915","0.7797691822052002","0.8353925347328186","0.6408483982086182","0.5686672925949097","0.6408483982086182","","0.8024096488952637","0.784166693687439","0.8104726672172546","","0.5189530849456787","0.4746449887752533","","0.563308596611023","","","0.4383496442792661","0.4383496442792661","0.009315959345066686"
"glorious-sweep-52","plbch86t","finished","-","mohkoh","","2023-06-23T02:11:59.000Z","2581","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.8316823244094849","0.7941723465919495","0.8432968854904175","0.6563660502433777","0.5939825773239136","0.6563660502433777","","0.8081557154655457","0.7883333563804626","0.8187210559844971","","0.5533016920089722","0.4787070155143738","","0.597786009311676","","","0.4232105047789197","0.4232105047789197","0.009315959345066686"
"stilted-sweep-51","plbch86t","finished","-","mohkoh","","2023-06-23T01:28:58.000Z","2581","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.8309379816055298","0.8310644030570984","0.8481165170669556","0.6501818299293518","0.6634799242019653","0.6501818299293518","","0.8065801858901978","0.8117708563804626","0.8208526372909546","","0.560908854007721","0.5700690150260925","","0.598379373550415","","","0.42637839666203664","0.42637839666203664","0.009315959345066686"
"lemon-sweep-50","plbch86t","finished","-","mohkoh","","2023-06-23T00:46:00.000Z","2577","yrv3qwjh","184.53423006666665","0","2","","","0.75","blend","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8295313715934753","0.8224883675575256","0.8440097570419312","0.6481645703315735","0.6361879110336304","0.6481645703315735","","0.803058385848999","0.8037499785423279","0.815755307674408","","0.5523489117622375","0.5451472401618958","","0.5911210179328918","","","0.4264673609044229","0.4264673609044229","0.009315959345066686"
"sleek-sweep-49","plbch86t","finished","-","mohkoh","","2023-06-23T00:02:59.000Z","2581","yrv3qwjh","184.53423026666667","0","2","","","0.75","blend","0.75","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8358395099639893","0.8226692080497742","0.8431293964385986","0.66105717420578","0.6390522122383118","0.66105717420578","","0.8137164115905762","0.80489581823349","0.8175162076950073","","0.5662494897842407","0.5498678088188171","","0.596433699131012","","","0.4245213922598403","0.4245213922598403","0.009315959345066686"
"confused-sweep-48","plbch86t","finished","-","mohkoh","","2023-06-22T23:20:02.000Z","2579","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.8158442378044128","0.7915182709693909","0.8409944772720337","0.6262826323509216","0.5896793603897095","0.6262826323509216","","0.7939758896827698","0.7894791960716248","0.8135310411453247","","0.498080849647522","0.4920834004878998","","0.5774884819984436","","","0.4402293879169834","0.4402293879169834","0.009315959345066686"
"avid-sweep-47","plbch86t","finished","-","mohkoh","","2023-06-22T22:37:06.000Z","2579","yrv3qwjh","184.53423006666665","0","2","","","0.75","blend","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.8374249339103699","0.816354513168335","0.8498594760894775","0.663397490978241","0.6217232942581177","0.663397490978241","","0.8101019263267517","0.8021875023841858","0.8196478486061096","","0.5641353130340576","0.5319201350212097","","0.6029232740402222","","","0.41845724966969966","0.41845724966969966","0.009315959345066686"
"soft-sweep-46","plbch86t","finished","-","mohkoh","","2023-06-22T21:54:05.000Z","2579","yrv3qwjh","184.53423013333332","0","2","","","0.75","blend","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.8257052898406982","0.8235267400741577","0.8416566848754883","0.642791211605072","0.6385101079940796","0.642791211605072","","0.8044485449790955","0.8081250190734863","0.8156626224517822","","0.5460413098335266","0.5567853450775146","","0.5923824906349182","","","0.43034940607578","0.43034940607578","0.009315959345066686"
"sunny-sweep-45","plbch86t","finished","-","mohkoh","","2023-06-22T21:11:04.000Z","2581","yrv3qwjh","184.53423006666665","0","2","","","0.75","blend","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8189746737480164","0.7905705571174622","0.8428038954734802","0.6355047821998596","0.5807802081108093","0.6355047821998596","","0.7969416379928589","0.7886458039283752","0.8131603598594666","","0.5198334455490112","0.4864591360092163","","0.5743398070335388","","","0.43617833053689253","0.43617833053689253","0.009315959345066686"
"legendary-sweep-44","plbch86t","finished","-","mohkoh","","2023-06-22T20:28:07.000Z","2580","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8334947824478149","0.8304521441459656","0.8496167063713074","0.6558815240859985","0.654619038105011","0.6558815240859985","","0.807692289352417","0.8089583516120911","0.8177942633628845","","0.5586045384407043","0.5627086162567139","","0.6022155284881592","","","0.4227529664331239","0.4227529664331239","0.009315959345066686"
"golden-sweep-43","plbch86t","finished","-","mohkoh","","2023-06-22T19:45:09.000Z","2579","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.8317693471908569","0.8205649852752686","0.8518646955490112","0.6547327041625977","0.643887460231781","0.6547327041625977","","0.8089898228645325","0.8068749904632568","0.8228915929794312","","0.5671077370643616","0.5583611726760864","","0.6163420677185059","","","0.42614407836065143","0.42614407836065143","0.009315959345066686"
"twilight-sweep-42","plbch86t","finished","-","mohkoh","","2023-06-22T19:02:12.000Z","2579","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.829154908657074","0.8171554207801819","0.8523848652839661","0.6501088738441467","0.6221194267272949","0.6501088738441467","","0.8090825080871582","0.8035416603088379","0.8207599520683289","","0.569037675857544","0.5381978154182434","","0.6086090207099915","","","0.4260632825543517","0.4260632825543517","0.009315959345066686"
"robust-sweep-41","plbch86t","finished","-","mohkoh","","2023-06-22T18:19:14.000Z","2577","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.832420825958252","0.816728949546814","0.8505013585090637","0.6568636894226074","0.6270084381103516","0.6568636894226074","","0.8082484006881714","0.8023958206176758","0.8193697929382324","","0.5587545037269592","0.5394513607025146","","0.6102779507637024","","","0.4229332977460972","0.4229332977460972","0.009315959345066686"
"fanciful-sweep-40","plbch86t","finished","-","mohkoh","","2023-06-22T17:36:15.000Z","2577","yrv3qwjh","184.53423","0","2","","","0.75","blend","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8240751624107361","0.8264567852020264","0.8489502668380737","0.639419674873352","0.6446754932403564","0.639419674873352","","0.80074143409729","0.8077083230018616","0.8184430003166199","","0.5473684668540955","0.5646225810050964","","0.6035215258598328","","","0.43286201499712873","0.43286201499712873","0.009315959345066686"
"royal-sweep-39","plbch86t","finished","-","mohkoh","","2023-06-22T16:53:17.000Z","2578","yrv3qwjh","184.53423006666665","0","2","","","0.75","blend","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8322889804840088","0.8270441293716431","0.8431224822998047","0.6568025350570679","0.654923677444458","0.6568025350570679","","0.8107507228851318","0.8090624809265137","0.8172382116317749","","0.5664544105529785","0.5607476830482483","","0.592864453792572","","","0.42376342140191087","0.42376342140191087","0.009315959345066686"
