"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","Average data transfer/epoch (MB): ","Average dismissal rate: ","PC: ","autoencoder","batch_size","blending_factor","data_poisoning_method","data_poisoning_prob","detect_anomalies","detection_params.method","detection_params.pooling","detection_params.split","detection_scheduler","detection_similarity","detection_start","detection_tau","detection_tolerance","detection_window","label_flipping_prob","learning_rate","nr_clients","num_malicious","total_MegaFLOPS model","total_MegaFLOPS","total_MegaFLOPS_backprob","total_MegaFLOPS_encoder","total_MegaFLOPS_forward","AUC_test.max","AUC_train","AUC_val.max","AUPRC_test","AUPRC_test.max","AUPRC_train","AUPRC_val","AUPRC_val.max","Accuracy_det.min","Accuracy_test.max","Accuracy_train","Accuracy_val.max","F1_det","F1_det.max","F1_det.min","F1_test.max","F1_train","F1_val","F1_val.max","FN_det","FN_det.min","FP_det","FP_det.min","Loss_test","Loss_val","dropout_threshold"
"unique-sweep-15","ej13dk9b","finished","-","mohkoh","","2023-07-04T15:16:12.000Z","969","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.7","3","5","0.25","0.001","10","10","0","0","0","0","0","0.7902430891990662","0.7193877100944519","0.801201343536377","","0.5910505652427673","0.5030094385147095","","0.6164495348930359","","0.78971266746521","0.7629166841506958","0.7958294749259949","","0.75","","0.4694879353046417","0.3997890055179596","","0.48726773262023926","","4","","0","0.47478589209868693","0.47478589209868693","0.009315959345066686"
"elated-sweep-14","ej13dk9b","finished","-","mohkoh","","2023-07-04T14:58:39.000Z","1070","7z1t0rbb","184.54056006666667","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.7","3","5","0.25","0.001","10","8","0","0","0","0","0","0.7803620100021362","0.6926934123039246","0.7803620100021362","","0.5867001414299011","0.4565320312976837","","0.5911089777946472","","0.7866542935371399","0.7465624809265137","0.7910102009773254","","0.3636363636363637","","0.3976975679397583","0.2937590777873993","","0.4673285484313965","","6","","0","0.4936114828269831","0.4936114828269831","0.009315959345066686"
"toasty-sweep-13","ej13dk9b","finished","-","mohkoh","","2023-07-04T14:47:14.000Z","700","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.7","3","5","0.25","0.001","10","6","0","0","0","0","0","0.7749451398849487","0.6963226795196533","0.7904707193374634","","0.579991340637207","0.46375271677970886","","0.6056160926818848","","0.7868396639823914","0.7520833611488342","0.7939758896827698","","0.5454545454545454","","0.44605010747909546","0.3359375","","0.46630915999412537","","3","","0","0.4970634040853296","0.4970634040853296","0.009315959345066686"
"wise-sweep-12","ej13dk9b","finished","-","mohkoh","","2023-07-04T14:30:46.000Z","1005","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.7","3","5","0.25","0.001","10","4","0","0","0","0","0","0.8348170518875122","0.830086886882782","0.8438054919242859","","0.664593517780304","0.6619261503219604","","0.6806622743606567","","0.8123262524604797","0.8121874928474426","0.8190917372703552","","0.8888888888888888","","0.5871559381484985","0.5697924494743347","","0.5968436002731323","","0","","0","0.4216308875856706","0.4216308875856706","0.009315959345066686"
"polar-sweep-11","ej13dk9b","finished","-","mohkoh","","2023-07-04T14:11:00.000Z","1179","7z1t0rbb","178.389208","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.7","3","5","0.25","0.001","10","2","0","0","0","0","0","0.8372519612312317","0.8293551206588745","0.8432251214981079","","0.6662691235542297","0.6413724422454834","","0.676717221736908","","0.8074142932891846","0.8079166412353516","0.8142724633216858","","0.8","","0.5638119578361511","0.5599045753479004","","0.5966183543205261","","0","","0","0.41707634244422337","0.41707634244422337","0.009315959345066686"
"swept-sweep-10","ej13dk9b","finished","-","mohkoh","","2023-07-04T13:45:54.000Z","1520","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.5","3","5","0.25","0.001","10","10","0","0","0","0","0","0.7576825618743896","0.7018434405326843","0.7907556891441345","","0.554340660572052","0.4712457656860352","","0.6204370260238647","","0.7763670086860657","0.7530208230018616","0.7992585897445679","","0","","0.3448275625705719","0.33305203914642334","","0.5016106963157654","","10","","0","0.5028430596790135","0.5028430596790135","0.009315959345066686"
"leafy-sweep-9","ej13dk9b","finished","-","mohkoh","","2023-07-04T13:24:33.000Z","1297","7z1t0rbb","184.54056006666667","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.5","3","5","0.25","0.001","10","8","0","0","0","0","0","0.774899423122406","0.6890325546264648","0.8009274005889893","","0.5765490531921387","0.4534541368484497","","0.6280466318130493","","0.7860055565834045","0.746874988079071","0.800000011920929","","0.2222222222222222","","0.43696656823158264","0.30332568287849426","","0.47641289234161377","","7","","0","0.4925005672395376","0.4925005672395376","0.009315959345066686"
"icy-sweep-8","ej13dk9b","finished","-","mohkoh","","2023-07-04T13:01:32.000Z","1396","7z1t0rbb","184.5405602","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.5","3","5","0.25","0.001","10","6","0","0","0","0","0","0.776513397693634","0.7112245559692383","0.8094261884689331","","0.5788089036941528","0.48305824398994446","","0.6338193416595459","","0.7869323492050171","0.7628124952316284","0.7985171675682068","","0.2857142857142857","","0.43665769696235657","0.36129030585289","","0.4921821653842926","","5","","0","0.4869733956520847","0.4869733956520847","0.009315959345066686"
"fluent-sweep-7","ej13dk9b","finished","-","mohkoh","","2023-07-04T12:39:25.000Z","1321","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.5","3","5","0.25","0.001","10","4","0","0","0","0","0","0.8253028988838196","0.8116810321807861","0.8300373554229736","","0.645771324634552","0.6253069043159485","","0.6572606563568115","","0.8070435523986816","0.7982291579246521","0.8087117671966553","","1","","0.5551282167434692","0.5173187255859375","","0.5630821585655212","","0","","0","0.4298745608320768","0.4298745608320768","0.009315959345066686"
"leafy-sweep-6","ej13dk9b","finished","-","mohkoh","","2023-07-04T12:17:42.000Z","1318","7z1t0rbb","178.38920806666667","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.5","3","5","0.25","0.001","10","2","0","0","0","0","0","0.8305351734161377","0.8327559232711792","0.8458856344223022","","0.6543070077896118","0.6554586291313171","","0.6844176650047302","","0.8088971376419067","0.8112499713897705","0.8164041042327881","","1","","0.5647953152656555","0.5662996172904968","","0.5961421132087708","","0","","0","0.4237916425092081","0.4237916425092081","0.009315959345066686"
"charmed-sweep-5","ej13dk9b","finished","-","mohkoh","","2023-07-04T11:52:32.000Z","1528","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.3","3","5","0.25","0.001","10","10","0","0","0","0","0","0.7616915106773376","0.6929498314857483","0.7951345443725586","","0.5597036480903625","0.4502062201499939","","0.6133730411529541","","0.7818350195884705","0.7473958134651184","0.7949026823043823","","0","","0.3850574791431427","0.2789176106452942","","0.4609053134918213","","10","","0","0.49638146767244823","0.49638146767244823","0.009315959345066686"
"vocal-sweep-4","ej13dk9b","finished","-","mohkoh","","2023-07-04T11:29:07.000Z","1418","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.3","3","5","0.25","0.001","10","8","0","0","0","0","0","0.7799475193023682","0.7150705456733704","0.7922568917274475","","0.5941532254219055","0.4788496494293213","","0.605946958065033","","0.7898980379104614","0.7629166841506958","0.795366108417511","","0","","0.4431343674659729","0.3610331416130066","","0.4851666092872619","","8","","0","0.48067018985785454","0.48067018985785454","0.009315959345066686"
"autumn-sweep-3","ej13dk9b","finished","-","mohkoh","","2023-07-04T11:04:07.000Z","1517","7z1t0rbb","184.54056","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.3","3","5","0.25","0.001","10","6","0","0","0","0","0","0.7635753750801086","0.7106868028640747","0.8080956339836121","","0.571687638759613","0.4775257110595703","","0.634059727191925","","0.7891566157341003","0.7549999952316284","0.7998146414756775","","0","","0.4506158232688904","0.35242292284965515","","0.4940693974494934","","6","","0","0.49321342891719094","0.49321342891719094","0.009315959345066686"
"lyric-sweep-2","ej13dk9b","finished","-","mohkoh","","2023-07-04T10:39:11.000Z","1512","7z1t0rbb","184.5405602","0","2","1","64","0","flat","0","true","similarity","average","knn_10_euclidean","false","cosine","0","0.3","3","5","0.25","0.001","10","4","0","0","0","0","0","0.7680191397666931","0.6971497535705566","0.8122817873954773","","0.5833863019943237","0.4604986310005188","","0.6415079236030579","","0.7851714491844177","0.7570833563804626","0.8032437562942505","","0","","0.395409494638443","0.3344748914241791","","0.5195729732513428","","4","","0","0.49227555762858743","0.49227555762858743","0.009315959345066686"
