"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","Average data transfer/epoch (MB): ","Average dismissal rate: ","PC: ","autoencoder","batch_size","blending_factor","data_poisoning_method","data_poisoning_prob","detect_anomalies","detection_params.method","detection_params.pooling","detection_params.split","detection_scheduler","detection_similarity","detection_start","detection_tau","detection_tolerance","detection_window","label_flipping_prob","learning_rate","nr_clients","num_malicious","total_MegaFLOPS model","total_MegaFLOPS","total_MegaFLOPS_backprob","total_MegaFLOPS_encoder","total_MegaFLOPS_forward","AUC_test.max","AUC_train","AUC_val.max","AUPRC_test","AUPRC_train","AUPRC_val","Accuracy_test.max","Accuracy_train","Accuracy_val.max","F1_test.max","F1_train","F1_val","F1_val.max","FN_det.min","FP_det.min","Loss_test","Loss_val","dropout_threshold"
"restful-sweep-20","t2d54108","finished","-","mohkoh","","2023-06-21T02:02:22.000Z","2560","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","1","0.001","10","10","0","0","0","0","0","0.2875458002090454","0.7956756353378296","0.43906986713409424","0.17659255862236023","0.6465068459510803","0.17659255862236023","0.6814643144607544","0.7790625095367432","0.6924930214881897","0.04976499825716019","0.4529275596141815","","0.11849095672369005","","","0.903509697659963","0.903509697659963","0.009315959345066686"
"gentle-sweep-19","t2d54108","finished","-","mohkoh","","2023-06-21T01:19:43.000Z","2559","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","1","0.001","10","8","0","0","0","0","0","0.47784173488616943","0.7605777382850647","0.5188230872154236","0.2657649517059326","0.5991520881652832","0.2657649517059326","0.6833178997039795","0.7634375095367432","0.7197405099868774","0.06613828986883163","0.4751560389995575","","0.3890909254550934","","","0.6809354512304402","0.6809354512304402","0.009315959345066686"
"fine-sweep-18","t2d54108","finished","-","mohkoh","","2023-06-21T00:36:55.000Z","2562","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","1","0.001","10","6","0","0","0","0","0","0.7052351236343384","0.6909071803092957","0.7571409940719604","0.4396868944168091","0.43857890367507935","0.4396868944168091","0.7570899128913879","0.754479169845581","0.7775717973709106","0.4140397906303406","0.38953638076782227","","0.4343225359916687","","","0.527743625588952","0.527743625588952","0.009315959345066686"
"major-sweep-17","t2d54108","finished","-","mohkoh","","2023-06-20T23:54:16.000Z","2560","35drrpbz","184.53423013333332","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","1","0.001","10","4","0","0","0","0","0","0.5671019554138184","0.5835906267166138","0.6661285758018494","0.29457730054855347","0.3704955279827118","0.29457730054855347","0.6970342993736267","0.7114583253860474","0.7414272427558899","0.05819648504257202","0.07109322398900986","","0.3890909254550934","","","0.5756325290279384","0.5756325290279384","0.009315959345066686"
"avid-sweep-16","t2d54108","finished","-","mohkoh","","2023-06-20T23:11:36.000Z","2559","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","1","0.001","10","2","0","0","0","0","0","0.7661914825439453","0.7511446475982666","0.8113985061645508","0.5591282248497009","0.5295283794403076","0.5591282248497009","0.77933269739151","0.7832291722297668","0.7964782118797302","0.43187782168388367","0.3881211578845978","","0.5098214149475098","","","0.4788359351094552","0.4788359351094552","0.009315959345066686"
"good-sweep-15","t2d54108","finished","-","mohkoh","","2023-06-20T22:28:59.000Z","2558","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.75","0.001","10","10","0","0","0","0","0","0.5176293849945068","0.6752814650535583","0.5358797311782837","0.2824805676937103","0.4810929596424103","0.2824805676937103","0.7073215842247009","0.7430208325386047","0.7128822803497314","0.04244996979832649","0.3993182480335235","","0.3561928868293762","","","0.5839424017216641","0.5839424017216641","0.009315959345066686"
"bright-sweep-14","t2d54108","finished","-","mohkoh","","2023-06-20T21:46:26.000Z","2554","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.75","0.001","10","8","0","0","0","0","0","0.6998717188835144","0.6289758682250977","0.7475836873054504","0.4384669661521912","0.35605213046073914","0.4384669661521912","0.7436515092849731","0.7245833277702332","0.7688600420951843","0.03219034522771835","0.15202052891254425","","0.43523553013801575","","","0.5352607726316635","0.5352607726316635","0.009315959345066686"
"flowing-sweep-13","t2d54108","finished","-","mohkoh","","2023-06-20T21:03:55.000Z","2552","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.75","0.001","10","6","0","0","0","0","0","0.6342921853065491","0.6342377066612244","0.6522287130355835","0.35732778906822205","0.4191320836544037","0.35732778906822205","0.7308619022369385","0.7320833206176758","0.7315106391906738","0.11732523143291472","0.4146563112735748","","0.38968947529792786","","","0.5570071563584591","0.5570071563584591","0.009315959345066686"
"curious-sweep-12","t2d54108","finished","-","mohkoh","","2023-06-20T20:21:19.000Z","2552","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.75","0.001","10","4","0","0","0","0","0","0.71871018409729","0.6986353397369385","0.7528786659240723","0.5020402669906616","0.45969992876052856","0.5020402669906616","0.7718257904052734","0.7596874833106995","0.7811862826347351","0.31458795070648193","0.26505255699157715","","0.42264866828918457","","","0.5153252891735203","0.5153252891735203","0.009315959345066686"
"rare-sweep-11","t2d54108","finished","-","mohkoh","","2023-06-20T19:38:51.000Z","2548","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.75","0.001","10","2","0","0","0","0","0","0.8025147318840027","0.7943423390388489","0.8138908743858337","0.6138678789138794","0.5889055728912354","0.6138678789138794","0.7934198379516602","0.7884374856948853","0.7985171675682068","0.4749116897583008","0.4299747347831726","","0.5305425524711609","","","0.4514928371366213","0.4514928371366213","0.009315959345066686"
